Category,Question,Answer
General,What’s the difference between Google Workspace and Google’s free apps?,"Google Workspace provides additional business-grade services not included in the free consumer apps. These include custom business email, twice the amount of cloud storage, 24/7 phone and email support, 99.9% guaranteed uptime on business email, Microsoft Outlook interoperability, and administrative controls."
General,Can I purchase individual Google Workspace apps?,"No. When you sign up, you get a suite of integrated apps. Using them together improves productivity. You can choose to only use the services you need."
General,Can I replace my current software with Google Workspace?,"Many customers are able to use Google Workspace exclusively to create text documents, spreadsheets, and presentations. The apps work across devices, and no software installation is required. Google Workspace is also compatible with files from programs like Microsoft Office."
Gmail,How does Gmail in Google Workspace differ from free Gmail?,"Google Workspace offers various low-cost plans with upgrades like increased storage, custom email addresses, or professional email layouts."
Gmail,Can a user have multiple email addresses?,"Yes, by creating email aliases. Up to 30 email aliases can be added for each user."
Gmail,Can I migrate my existing email to Google Workspace?,"Yes. Migration tools are available for importing emails from legacy environments such as Microsoft®, IBM® Notes®, and other systems."
Google Calendar,Can I create a Google Calendar for a group?,"Yes, you can create a calendar accessible to everyone or a subset of users in your organization."
Google Calendar,Can I migrate and sync all my calendars?,"Yes. Migration options are available for many calendar types, including Microsoft® and IBM®."
Google Calendar,Does Calendar have event reminders?,"Yes, by default, Calendar displays a pop-up reminder 10 minutes before an event, and this can be changed in the settings."
Google Calendar,Does Google Calendar offer appointment scheduling?,"Yes. Anyone with a personal Google account can create one booking page. Workspace subscribers get premium features like unlimited booking pages, Stripe payment collection, email verification, and multi-calendar availability checks."
Google Meet,Can external participants join a call?,"Yes. For the free version of Google Meet, they can sign in with a Google Account or be approved by the meeting organizer. Google Workspace customers can invite anyone by sharing the link or meeting ID."
Google Meet,Is the meeting content secure?,Yes. All video and audio streams in Meet are encrypted.
Google Meet,Is a third-party service required for dial-in access?,No. Google Workspace's Enterprise edition allows you to include a phone number and PIN with no additional configuration.
Google Drive,What types of files can I upload to Drive?,"You can upload any file type and convert certain ones to Docs, Sheets, or Slides format."
Google Drive,How much storage do I get with Drive?,Free Google Drive users get 15 GB of storage. Storage for Google Workspace customers varies by edition.
Google Drive,How does Drive in Google Workspace differ from free Drive?,"Google Workspace’s Drive offers double the storage, 24/7 support, sharing controls, and advanced reporting. You can get unlimited storage for an extra fee if you have fewer than 5 users."
Google Docs,Does Docs work offline?,"Yes, this feature is available within a Chrome browser."
Google Docs,Can I share Docs files externally?,"Yes, you can grant editor, viewer, or commenter access to anyone."
Google Docs,Can I convert my existing documents into Docs?,"Yes. Many different file types can be converted into Docs format, and the original file remains intact."
Google Chat,How do I start using Chat?,"If you're a Google Workspace customer, Chat is free. You can get started right away."
Google Chat,How is Google Chat different from previous messaging products from Google?,"Chat is the preferred platform for Google Workspace customers, and admins can easily migrate users from classic Hangouts."
Google Chat,I’ve got an idea for a bot. How can I get started?,Check the Developer page for comprehensive guides.
Meet Hardware,How much does the Meet hardware kit cost? What are the specs?,"Meet room kits and devices start around $2,000."
